@relation 'Polution-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-3,5-6,9-10'

@attribute DayWeek {Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday}
@attribute NO2 numeric
@attribute PM10 numeric
@attribute Temperature numeric
@attribute Polution {SO2,NO,NO2,O3,CO,PM10}
@attribute Place {Palau_Reial,Torrente_Gornal,Sants}
@attribute Grade {1,2,3}

@data
Wednesday,28,24,26,O3,Palau_Reial,3
Thursday,28,28,26,O3,Palau_Reial,2
Friday,50,32,27.4,O3,Palau_Reial,2
Saturday,32,27,27.6,O3,Palau_Reial,2
Sunday,25,27,27.8,O3,Palau_Reial,2
Monday,43,29,27.4,O3,Palau_Reial,2
Tuesday,19,20,25.4,O3,Palau_Reial,3
Wednesday,19,22,22.1,O3,Palau_Reial,3
Thursday,19,21,20.6,O3,Palau_Reial,3
Friday,18,24,21,O3,Palau_Reial,3
Saturday,17,23,22.4,O3,Palau_Reial,3
Sunday,23,20,24.4,O3,Palau_Reial,2
Monday,32,21,23.8,NO2,Palau_Reial,2
Tuesday,21,21,24.6,O3,Palau_Reial,2
Wednesday,30,34,26.3,PM10,Palau_Reial,3
Thursday,43,33,26,PM10,Palau_Reial,3
Friday,34,30,23.7,O3,Palau_Reial,3
Saturday,19,16,23.8,O3,Palau_Reial,2
Sunday,19,17,24.7,O3,Palau_Reial,2
Monday,29,24,25.6,O3,Palau_Reial,2
Tuesday,26,24,26.4,O3,Palau_Reial,3
Wednesday,24,23,25.4,O3,Palau_Reial,3
Thursday,21,20,25,O3,Palau_Reial,3
Friday,22,24,25.1,O3,Palau_Reial,3
Saturday,15,22,25.8,?,Palau_Reial,3
Sunday,14,?,25.8,O3,Palau_Reial,3
Monday,14,22,24.6,O3,Palau_Reial,3
Tuesday,15,25,24.7,O3,Palau_Reial,3
Wednesday,17,22,26,O3,Palau_Reial,3
Thursday,25,22,27.6,O3,Palau_Reial,3
Friday,14,21,23.2,O3,Palau_Reial,3
Saturday,13,18,24.2,O3,Palau_Reial,3
Sunday,21,17,25.5,O3,Palau_Reial,3
Monday,20,19,26.4,O3,Palau_Reial,2
Tuesday,28,19,24.2,O3,Palau_Reial,2
Wednesday,17,19,21.5,O3,Palau_Reial,3
Thursday,13,26,20.8,O3,Palau_Reial,3
Friday,15,24,23.6,O3,Palau_Reial,2
Saturday,20,18,23.8,O3,Palau_Reial,2
Sunday,18,14,23.6,O3,Palau_Reial,3
Monday,14,12,25,O3,Palau_Reial,3
Tuesday,17,21,24.6,O3,Palau_Reial,3
Wednesday,18,34,25.2,O3,Palau_Reial,2
Thursday,23,28,25.4,O3,Palau_Reial,3
Friday,22,34,24.8,O3,Palau_Reial,3
Saturday,17,28,25.2,O3,Palau_Reial,3
Sunday,12,19,23.8,O3,Palau_Reial,3
Monday,18,23,25.1,O3,Palau_Reial,3
Tuesday,31,20,25.2,O3,Palau_Reial,2
Wednesday,50,22,26.8,O3,Palau_Reial,2
Thursday,37,18,25.4,O3,Palau_Reial,2
Friday,31,19,25.1,O3,Palau_Reial,2
Saturday,30,19,24.6,O3,Palau_Reial,3
Sunday,10,18,25.4,O3,Palau_Reial,3
Monday,23,23,23.2,O3,Palau_Reial,3
Tuesday,25,25,21.2,O3,Palau_Reial,3
Wednesday,35,23,24,O3,Palau_Reial,3
Thursday,43,24,26.2,O3,Palau_Reial,2
Friday,39,28,25.8,NO2,Palau_Reial,2
Saturday,31,27,26.6,O3,Palau_Reial,3
Sunday,42,29,26.8,NO2,Palau_Reial,2
Monday,56,32,27.9,NO2,Palau_Reial,2
Tuesday,36,26,26.9,O3,Palau_Reial,2
Wednesday,23,16,24.5,O3,Palau_Reial,3
Thursday,27,17,24,O3,Palau_Reial,3
Friday,24,19,24.6,O3,Palau_Reial,3
