@relation 'Polution-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-3,5-6,9-10'

@attribute DayWeek {Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday}
@attribute NO2 numeric
@attribute PM10 numeric
@attribute Temperature numeric
@attribute Polution {SO2,NO,NO2,O3,CO,PM10}
@attribute Place {Palau_Reial,Torrente_Gornal,Sants}
@attribute Grade {1,2,3}

@data
Thursday,32,?,21.2,NO2,Sants,2
Friday,31,?,19.6,NO2,Sants,3
Saturday,28,?,20.6,NO2,Sants,3
Sunday,22,?,19.6,NO2,Sants,3
Monday,35,?,20,NO2,Sants,3
Tuesday,27,?,20.6,NO2,Sants,3
Wednesday,27,?,20.6,NO2,Sants,3
Thursday,30,?,20.5,NO2,Sants,3
Friday,35,?,20.4,NO2,Sants,3
Saturday,25,?,21.3,NO2,Sants,3
Sunday,23,?,20.6,NO2,Sants,3
Monday,24,?,20,NO2,Sants,3
Tuesday,27,?,19.4,NO2,Sants,3
Wednesday,35,?,19.2,NO2,Sants,3
Thursday,49,?,14.8,NO2,Sants,3
Friday,42,?,18.6,NO2,Sants,2
Saturday,29,?,17.2,NO2,Sants,3
Sunday,17,?,15.1,NO2,Sants,3
Monday,39,?,13.8,NO2,Sants,3
Tuesday,41,?,14.8,NO2,Sants,3
Wednesday,28,?,14.6,NO2,Sants,3
Thursday,52,?,16,NO2,Sants,3
Friday,35,?,16.1,NO2,Sants,3
Saturday,40,?,17.8,NO2,Sants,3
Sunday,40,?,18.5,NO2,Sants,3
Monday,51,?,18.5,NO2,Sants,3
Tuesday,39,?,18.3,NO2,Sants,3
Wednesday,36,?,16,NO2,Sants,2
Thursday,28,?,13.6,NO2,Sants,3
Friday,43,?,11.5,NO2,Sants,3
Saturday,39,?,13.2,NO2,Sants,3
Sunday,46,?,17.9,NO2,Sants,3
Monday,49,?,19.1,NO2,Sants,2
Tuesday,64,?,19.8,NO2,Sants,3
Wednesday,56,?,19.5,NO2,Sants,2
Thursday,45,?,17,NO2,Sants,3
Friday,45,?,16.9,NO2,Sants,3
Saturday,62,?,18.6,NO2,Sants,2
Sunday,44,?,15.4,NO2,Sants,3
Monday,52,?,15.2,NO2,Sants,2
Tuesday,38,?,17.6,NO2,Sants,3
Wednesday,41,?,16,NO2,Sants,2
Thursday,50,?,15.8,NO2,Sants,3
Friday,48,?,15.6,NO2,Sants,3
Saturday,20,?,14.8,NO2,Sants,3
Sunday,17,?,11,NO2,Sants,3
Monday,33,?,9.1,NO2,Sants,3
Tuesday,21,?,8.8,NO2,Sants,3
Wednesday,19,?,11.5,NO2,Sants,3
Thursday,26,?,11.6,NO2,Sants,3
Friday,32,?,13.2,NO2,Sants,3
Saturday,43,?,12.6,NO2,Sants,3
Sunday,41,?,13.2,NO2,Sants,3
Monday,36,?,13.2,NO2,Sants,3
Tuesday,43,?,11,NO2,Sants,2
Wednesday,51,?,12,NO2,Sants,2
Thursday,64,?,14.2,NO2,Sants,2
Friday,52,?,15,NO2,Sants,2
Saturday,31,?,12.9,NO2,Sants,3
Sunday,28,?,14.2,NO2,Sants,3
Monday,20,?,14.2,NO2,Sants,3
Tuesday,43,?,14,NO2,Sants,3
Wednesday,32,?,11.8,NO2,Sants,3
Thursday,35,?,9.8,NO2,Sants,3
Friday,42,?,10,NO2,Sants,2
Saturday,40,?,11.4,NO2,Sants,3
Sunday,27,?,13,NO2,Sants,3
Monday,34,?,11.7,NO2,Sants,3
Tuesday,42,?,11,NO2,Sants,3
Wednesday,42,?,9.8,NO2,Sants,3
Thursday,49,?,10.6,NO2,Sants,3
Friday,49,?,11,NO2,Sants,3
Saturday,44,?,9.9,NO2,Sants,3
Sunday,26,?,12.2,NO2,Sants,3
Monday,30,?,12.8,NO2,Sants,3
Tuesday,37,?,14,NO2,Sants,3
Wednesday,51,?,11.2,NO2,Sants,3
Thursday,50,?,11.8,NO2,Sants,3
Friday,55,?,14,NO2,Sants,2
Saturday,52,?,14.2,NO2,Sants,3
Sunday,43,?,12.7,NO2,Sants,3
Monday,72,?,14.2,NO2,Sants,2
Tuesday,70,?,12.8,NO2,Sants,2
Wednesday,57,?,11.8,NO2,Sants,3
Thursday,61,?,11.4,NO2,Sants,3
Friday,52,?,11,NO2,Sants,3
Saturday,28,?,10,NO2,Sants,3
Sunday,33,?,9,NO2,Sants,3
Monday,37,?,7.6,NO2,Sants,3
Tuesday,30,?,8.5,NO2,Sants,3
Wednesday,36,?,10.4,NO2,Sants,3
Thursday,47,?,12.2,NO2,Sants,3
Friday,35,?,11.2,NO2,Sants,3
Saturday,30,?,10.7,NO2,Sants,3
Sunday,22,?,11.6,NO2,Sants,3
Monday,51,?,13.3,NO2,Sants,3
Tuesday,78,?,14.1,NO2,Sants,2
Wednesday,78,?,12.2,NO2,Sants,2
Thursday,55,?,10.2,?,Sants,3
Friday,59,?,9.6,NO2,Sants,2
Saturday,60,?,10.6,NO2,Sants,3
